customer_id,city,state_province,country,customer_region_id,yearly_income,gender,total_children,num_children_at_home,education,date_accnt_opened,member_card,occupation,houseowner,num_cars_owned
1,Tlaxiaco,Oaxaca,Mexico,30,$30K - $50K,F,4,2,Partial High School,10/09/91,Bronze,Skilled Manual,Y,4
2,Sooke,BC,Canada,101,$70K - $90K,M,1,0,Partial High School,11/03/93,Bronze,Professional,N,3
3,Issaquah,WA,USA,21,$50K - $70K,F,1,1,Bachelors Degree,11/06/91,Bronze,Professional,Y,2
4,Burnaby,BC,Canada,92,$10K - $30K,M,4,4,Partial High School,21/05/94,Normal,Skilled Manual,N,2
5,Novato,CA,USA,42,$30K - $50K,F,3,0,Partial College,21/08/92,Silver,Manual,N,3
6,Lynnwood,WA,USA,75,$70K - $90K,F,3,0,Bachelors Degree,05/04/92,Bronze,Professional,Y,3
7,Tlaxiaco,Oaxaca,Mexico,30,$30K - $50K,F,2,1,Partial High School,01/05/91,Bronze,Manual,Y,3
8,San Andres,DF,Mexico,106,$50K - $70K,M,2,2,Bachelors Degree,11/06/92,Bronze,Professional,Y,3
9,Richmond,BC,Canada,90,$10K - $30K,M,5,3,Partial High School,14/11/93,Normal,Skilled Manual,Y,1
10,Lake Oswego,OR,USA,64,$30K - $50K,M,4,0,Bachelors Degree,04/05/93,Golden,Management,N,4
11,La Mesa,CA,USA,11,$50K - $70K,M,4,0,High School Degree,23/04/92,Bronze,Manual,N,2
12,Chula Vista,CA,USA,13,$30K - $50K,F,1,0,High School Degree,06/07/91,Bronze,Skilled Manual,N,3
13,Mexico City,Mexico,Mexico,2,$30K - $50K,M,4,0,High School Degree,09/10/90,Bronze,Manual,N,4
14,Lincoln Acres,CA,USA,10,$50K - $70K,F,2,2,Bachelors Degree,19/10/92,Bronze,Management,Y,2
15,Oak Bay,BC,Canada,99,$90K - $110K,M,3,0,Graduate Degree,09/08/91,Bronze,Professional,Y,3
16,Camacho,Zacatecas,Mexico,27,$50K - $70K,F,2,2,High School Degree,17/12/93,Bronze,Skilled Manual,Y,2
17,Arcadia,CA,USA,51,$90K - $110K,M,3,0,High School Degree,23/10/93,Bronze,Management,Y,3
