iter	Logloss
0	0.6716033936
1	0.6520996094
2	0.6344515381
3	0.6178071289
4	0.6027838135
5	0.5884746094
6	0.5746499023
7	0.5617401123
8	0.5501578369
9	0.5380455322
10	0.5273364258
11	0.5174171753
12	0.5077608032
13	0.4986560059
14	0.4901851807
15	0.4812330322
16	0.4739630127
17	0.4661190186
18	0.4588876343
19	0.4526800537
20	0.4458924561
21	0.4395812683
22	0.4338695679
23	0.4286816711
24	0.4232322998
25	0.4183170166
26	0.4134579163
27	0.4088328552
28	0.4044327698
29	0.4006508789
30	0.3966125488
31	0.3928568726
32	0.3895237427
33	0.3859679565
34	0.382602356
35	0.3795047607
36	0.3774648132
37	0.3748921509
38	0.3720510864
39	0.36937146
40	0.3669025879
41	0.3643373108
42	0.3621150818
43	0.3597061768
44	0.3575306396
45	0.3558108215
46	0.3536680908
47	0.3517269287
48	0.3496865845
49	0.3475975952
50	0.3458624878
51	0.344981842
52	0.3432346802
53	0.3416478271
54	0.3400108032
55	0.3386792603
56	0.3372870483
57	0.3361240234
58	0.3349180298
59	0.3334875793
60	0.3319353943
61	0.3312770996
62	0.3306923828
63	0.329509491
64	0.3284917603
65	0.3275451965
66	0.3264901733
67	0.3259133301
68	0.3249463501
69	0.3238948975
70	0.3227278137
71	0.3220853271
72	0.321037384
73	0.3202416687
74	0.3197019348
75	0.3187962036
76	0.3181087952
77	0.3169994507
78	0.3162248535
79	0.3155465393
80	0.3145233154
81	0.3135822754
82	0.3131519165
83	0.3120324097
84	0.311402832
85	0.3106151733
86	0.309789978
87	0.3090518799
88	0.3084300537
89	0.3076486816
