iter	Passed	Remaining
0	32	2917
1	49	2193
2	92	2684
3	99	2141
4	141	2401
5	176	2464
6	215	2554
7	247	2541
8	298	2682
9	333	2671
10	370	2663
11	410	2671
12	504	2988
13	516	2801
14	561	2809
15	607	2809
16	627	2694
17	664	2658
18	699	2612
19	743	2603
20	781	2567
21	821	2537
22	857	2497
23	892	2455
24	928	2413
25	966	2380
26	1001	2337
27	1036	2295
28	1070	2250
29	1090	2180
30	1125	2142
31	1163	2108
32	1198	2070
33	1232	2029
34	1267	1991
35	1300	1951
36	1304	1869
37	1312	1796
38	1357	1774
39	1389	1737
40	1425	1703
41	1461	1670
42	1495	1634
43	1531	1601
44	1565	1565
45	1571	1503
46	1605	1468
47	1641	1436
48	1675	1402
49	1710	1368
50	1746	1335
51	1750	1279
52	1785	1246
53	1819	1212
54	1853	1179
55	1887	1145
56	1919	1111
57	1952	1077
58	1989	1045
59	2024	1012
60	2059	978
61	2070	935
62	2075	889
63	2108	856
64	2142	824
65	2179	792
66	2213	759
67	2221	718
68	2258	687
69	2292	655
70	2327	622
71	2340	585
72	2375	553
73	2415	522
74	2435	487
75	2474	455
76	2519	425
77	2555	393
78	2591	360
79	2627	328
80	2663	295
81	2699	263
82	2714	228
83	2749	196
84	2784	163
85	2820	131
86	2853	98
87	2887	65
88	2921	32
89	2959	0
