,Tweet,Cluster
4,please check what happens this not woking since lockdown maharashtra,4
2,network fluctuations and speed pathetic need jio alternative very bad vodafone,2
4,this has been going since this absolutely unprofessional,4
4,have done recharge but haven got perday with unlimited call for days miss renu your employer told that you will get perday and unlimited call for days you recharge with but haven,4
4,but when still not received any call from customer care very poor services,4
7,mere area vodafone network nai raha hai bhitoli luckow plz solves problem plz,7
4,thanks but have visited the website called your executive numerous times every time the response sir sorry for the delay but have kept your order priority our executive shall call back asap confirm the appointment with you and goes,4
5,today vodafone cim deactivated without any information called the customer care and got know that the portability request came from end which totally false please support ohd,5
5,dear vodafone have already responded your reply waiting hear back from you now,5
2,sir our market area bilkul network nahi raha call aata nahi jata bhi nahi responce compny,2
6,why the hell previous plan deactivated and why the hell you active new plan are you fool https twitter com vodafonein status,6
5,vodafone netwrk worst ever using from many years but development even after complaining many times after corono started getting downgraded day day,5
4,internet not working pls assist asap,4
4,still waiting for your reply,4
4,reverse migration zamana hai dear alu kar wapas port,4
4,unable access your website and showing connection time out,4
3,worst customer care charged for internet postpaid have data account was wondering how you people are trying loot postpaid customer going they are transparent and providing quality services,3
6,double data speed #same you vodafone pic twitter com vpgpk tyio,6
4,call drops are very high this day facing this issue every call getting disconnected please look into,4
5,please help with the exact process changing ownership details lost sim card vodafone customer care and vodafone store people are referring each other and its been days now,5
4,haven received any message update,4
4,can expect your response,4
2,when can assure your customers that service will good and internet speed will good and stable also too much distortion network,2
2,gonna port into network hope works out well,2
5,someone has misused documents get sim card and sent mail vodafone well but nobody helping out please help sorting this out else file fir against and the person who using the sim,5
4,bari jaldi reply gaya,4
4,sent you private message monday night itself haven heard from you yet and neither any acknowledgment receipt the message what,4
6,have already used the link and done pia please reference all previous tweets this regard they don respond they ignore calls and getting point where think there absolutely concern pic twitter com ojgyhxiu,6
4,navyug market ghaziabad uttar praders please arrange sim card because this number update banks also,4
3,not buy internet service from you broad band ahmedabad using this worst service bopal guma always network problem http there one available solve complaint worst management waste money,3
4,such sorry state affairs your south extension store forcing someone who home quarantined come for their sim while having given letter authorization and proof the owner you would risk much just because you have,4
2,very bad network coverage vodafone call drops problems with getting data well sending receiving messages are facing vodafone network issue from the last months complained many times but not resolving what should,2
6,super fast network thank you pic twitter com kjuwrubv,6
7,after complaining again and again one has solved problem from your side thanks for insulting your customers such bad network vodafone,7
6,you can provide the speed sufficient network plz stop selling the new numbers pic twitter com zhjouf,6
5,why don vodafone provide any recharge offers along with hotstar amazin prime netflix offers,5
2,complaints reference says resolved but after days again zero signal absolutely connectivity from voda while airtel has full network how expect hold mnp consider for network,2
2,pathetic network vodafone they say they have fastest internet class network class customer service representative planning switch jio airtel,2
3,consecutive day still issue same worst service fraud company #leavingvodafone,3
4,request for call back you committed the same iroam free packs since year all sudden bill can doubled tripled faulty and needs correction not customer care arbitrarily declare charges valid avoid surprises please,4
2,purpose still not solved aftet manually network selection,2
4,response till now check,4
4,hello rekha dailing skip the advisory doesn work tried multiple times the advisory still continues can you test yourself and see that works,4
4,required details kindly reply,4
4,how one supposed pay bill when your site down,4
2,facing network coverage home try communicate with customer care but not connected plz solve network issue,2
6,are bhai company wale mera bhi sim sale sab jese bar salo mera sim block ker diya mene complaint kiya bho dike jawab bhi nahi dete bsnl bhi thik wale esse bhi gaye gujare off https twitter com theengineerclub status,6
4,fon varum ellam sheriyakum paisa evide ninnum varum kiifbi manthri,4
